"pro-id";"Nom";"Commune";"Début d'activité";"Fin d'activité";"Prédécesseur";"Successeur";"adresse";"coordonnées";"imprimerie";"patron";"libraire";"Date de brevet (libraire)";"lithographe";"Date de brevet (imprimeur-lithographe)";"imprimeur";"Date de brevet (imprimeur)";"graveur";"relieur";"typographe";"Linotypiste";"journaliste";"photographe";"marchand de journaux";"porteur de journaux";"Notes"
21;19;1;1831;1854;;1775738041;"45 rue de Bellain";"50.369348, 3.082408";18;1;1;;1;;0;;0;0;0;0;0;0;0;0;
22;20;1;1792;1795;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
23;21;1;1807;1818;;22;;;;0;1;;0;;1;;0;0;0;0;0;0;0;0;
24;22;1;1818;1828;21;23;;;;0;0;;0;;1;;0;0;0;0;0;0;0;0;
25;23;1;1828;1833;22;14;;;;0;0;;0;;1;;0;0;0;0;0;0;0;0;
26;24;1;1812;1851;;64;"62 rue de la Mairie";"50.368277, 3.079557";;0;0;;0;;1;;0;0;0;0;0;0;0;0;
27;3;1;1815;1835;26;2;"12 rue des Procureurs";"50.368508, 3.080329";14;1;0;;1;;1;"29/12/1815";0;0;0;0;0;0;0;0;
28;25;1;1790;1803;;26;"12 rue des Procureurs";"50.368508, 3.080329";14;1;0;;0;;0;;0;0;0;0;0;0;0;0;
29;26;1;1803;1815;25;3;"12 rue des Procureurs";"50.368508, 3.080329";14;1;0;;0;;1;;0;0;0;0;0;0;0;0;
30;27;1;1822;;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
31;28;1;1839;1896;;;"1 rue Jean-de-Bologne";"50.372586, 3.074372";19;1;0;;0;;1;;0;0;0;0;0;0;0;0;"1860/1879 annuaire"
32;50;3;;;;;;;;0;1;;0;;0;;0;0;0;0;0;0;0;0;
33;67;1;;;;;"5 rue des Chapelets";"50.371998, 3.080716";15;1;1;;0;;0;;0;0;0;0;0;0;0;0;
34;68;4;;;;;;;37;0;0;;0;;1;;0;0;0;0;0;0;0;0;
35;69;4;;;;;;;;0;1;;0;;1;;0;0;0;0;0;0;0;0;
37;70;1;1681;1689;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
38;71;1;1634;1638;;;"24 rue des écoles";"50.372545, 3.082188";25;1;0;;0;;1;;0;0;0;0;0;0;0;0;
39;72;1;1596;1630;;;"24 rue des écoles";"50.372545, 3.082188";25;1;0;;0;;1;;0;0;0;0;0;0;0;0;
40;73;1;1617;1641;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
41;74;1;1634;;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
42;75;1;1711;1721;;;;;9;1;0;;0;;0;;0;0;0;0;0;0;0;0;
43;76;1;1590;1634;;;;;9;1;0;;0;;0;;0;0;0;0;0;0;0;0;
44;77;1;1642;;;;;;9;1;0;;0;;0;;0;0;0;0;0;0;0;0;
45;78;1;1645;1690;;;;;9;1;0;;0;;0;;0;0;0;0;0;0;0;0;
46;79;1;1711;1721;;;;;9;1;0;;0;;0;;0;0;0;0;0;0;0;0;
47;80;1;1642;1645;;;;;9;1;0;;0;;0;;0;0;0;0;0;0;0;0;
48;81;1;1574;1627;;;;;8;1;0;;0;;0;;0;0;0;0;0;0;0;0;
49;82;1;1627;1630;;;;;8;1;0;;0;;0;;0;0;0;0;0;0;0;0;
50;83;1;1630;1634;;;;;8;1;0;;0;;0;;0;0;0;0;0;0;0;0;
51;84;1;1634;1636;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
52;85;1;1630;1644;;;;;8;1;0;;0;;0;;0;0;0;0;0;0;0;0;
53;86;1;1635;1641;;;;;8;1;0;;0;;0;;0;0;0;0;0;0;0;0;
54;87;1;1604;1616;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
55;88;1;1616;1622;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
56;89;1;1605;1610;;;;;6;1;0;;0;;0;;0;0;0;0;0;0;0;0;
57;91;1;1630;1634;;;;;6;1;0;;0;;0;;0;0;0;0;0;0;0;0;
58;91;1;1659;1688;;;;;6;1;0;;0;;0;;0;0;0;0;0;0;0;0;
59;92;1;1593;;;;;;6;1;0;;0;;0;;0;0;0;0;0;0;0;0;
